"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","population","TE","BH","signif"
"BEL-12_DWIL-LTR",24.9212402478234,0.0253742216420935,0.103924802432467,0.244159440751234,0.807107338142627,0.999945529425441,"chicharo vs makindu","BEL-12_DWIL-LTR",0.999945529425441,FALSE
"BEL-13_DAN-I",30.5881937669697,0.00188585448150841,0.110844133675618,0.0170135704883337,0.986425789655117,0.999945529425441,"chicharo vs makindu","BEL-13_DAN-I",0.999945529425441,FALSE
"BEL-13_DEL-I",104.198553172119,-0.0250556356135942,0.1115771672024,-0.224558807521466,0.822322513259604,0.999945529425441,"chicharo vs makindu","BEL-13_DEL-I",0.999945529425441,FALSE
"BEL-13_DP-I",97.5595535118217,-0.00155616837142042,0.114037260430327,-0.0136461395648065,0.989112293840618,0.999945529425441,"chicharo vs makindu","BEL-13_DP-I",0.999945529425441,FALSE
"BEL-13_DP-LTR",2.01721273350523,0.00133843270392262,0.0749664618745158,0.0178537531378096,0.985755522776263,0.999945529425441,"chicharo vs makindu","BEL-13_DP-LTR",0.999945529425441,FALSE
"BEL-13_DTA-I",14.7334141761319,-0.0174778438173452,0.104133323990218,-0.167841024828776,0.866708347134098,0.999945529425441,"chicharo vs makindu","BEL-13_DTA-I",0.999945529425441,FALSE
"BEL-13_DWIL-I",13.9199899872476,0.0139980811504726,0.105294630702528,0.132942022371674,0.894239232793385,0.999945529425441,"chicharo vs makindu","BEL-13_DWIL-I",0.999945529425441,FALSE
"BEL-13_DWIL-LTR",1.05377566196594,-0.016701540822555,0.0594060046324741,-0.28114230078057,0.778601257683837,0.999945529425441,"chicharo vs makindu","BEL-13_DWIL-LTR",0.999945529425441,FALSE
"BEL-14_DAN-I",38.4702064155812,0.0108207858783481,0.107228242941281,0.10091358005627,0.919619062815289,0.999945529425441,"chicharo vs makindu","BEL-14_DAN-I",0.999945529425441,FALSE
"BEL-14_DAN-LTR",0.450418585028206,0.00720862620996813,0.0448297963972533,0.160799887335866,0.872251013974527,0.999945529425441,"chicharo vs makindu","BEL-14_DAN-LTR",0.999945529425441,FALSE
"BEL-14_DEL-I",669.909778976424,-0.0518575177575603,0.0906721053534073,-0.571923609311136,0.567373728528135,0.999945529425441,"chicharo vs makindu","BEL-14_DEL-I",0.999945529425441,FALSE
"BEL-14_DP-I",201.809863356951,0.00979139076494388,0.115344572930639,0.0848881790982207,0.932350289577742,0.999945529425441,"chicharo vs makindu","BEL-14_DP-I",0.999945529425441,FALSE
"BEL-14_DP-LTR",82.162210474463,0.0144693602183436,0.106865112845773,0.135398352493443,0.892296926658267,0.999945529425441,"chicharo vs makindu","BEL-14_DP-LTR",0.999945529425441,FALSE
"BEL-14_DTA-I",592.40185638315,0.0305532246475202,0.104511599976397,0.29234290408357,0.770024458116714,0.999945529425441,"chicharo vs makindu","BEL-14_DTA-I",0.999945529425441,FALSE
"BEL-14_DWIL-I",43.8390940356174,0.01434358670878,0.110808049326696,0.129445349827346,0.897005265533254,0.999945529425441,"chicharo vs makindu","BEL-14_DWIL-I",0.999945529425441,FALSE
"BEL-14_DWIL-LTR",1.18444800837414,-0.00748342330705976,0.0614952358551602,-0.121691106684841,0.903143656727477,0.999945529425441,"chicharo vs makindu","BEL-14_DWIL-LTR",0.999945529425441,FALSE
"BEL-15_DAN-I",37.9799355047602,-0.00258314985066344,0.103922153983774,-0.024856584969041,0.980169356699829,0.999945529425441,"chicharo vs makindu","BEL-15_DAN-I",0.999945529425441,FALSE
"BEL-15_DAN-LTR",0.712933269147083,-0.0232375590650018,0.0518094690294329,-0.448519537071506,0.653778289456527,0.999945529425441,"chicharo vs makindu","BEL-15_DAN-LTR",0.999945529425441,FALSE
"BEL-15_DEL-I",162.924472837278,0.0222584244625368,0.113567368289727,0.195993134275616,0.844615539837472,0.999945529425441,"chicharo vs makindu","BEL-15_DEL-I",0.999945529425441,FALSE
"BEL-15_DP-I",59.1473340215107,-0.00522075509874711,0.107781093107483,-0.0484385057548155,0.961366772152174,0.999945529425441,"chicharo vs makindu","BEL-15_DP-I",0.999945529425441,FALSE
"BEL-15_DP-LTR",0.770164823648217,0.00217078199252919,0.0540977034357692,0.0401270637136489,0.967991825449992,0.999945529425441,"chicharo vs makindu","BEL-15_DP-LTR",0.999945529425441,FALSE
"BEL-15_DTA-I",36.6548726549272,-0.0260836942116521,0.11021171105735,-0.236668988816254,0.812913594865891,0.999945529425441,"chicharo vs makindu","BEL-15_DTA-I",0.999945529425441,FALSE
"BEL-15_DWIL-I",39.116654375632,-0.0256540135805142,0.103540014384678,-0.247769074912457,0.804313083610952,0.999945529425441,"chicharo vs makindu","BEL-15_DWIL-I",0.999945529425441,FALSE
"BEL-16_DAN-I",162.681842060605,0.0284309771679032,0.104684358026064,0.271587634523437,0.785939108422618,0.999945529425441,"chicharo vs makindu","BEL-16_DAN-I",0.999945529425441,FALSE
"BEL-16_DAN-LTR",0.938142561661186,-0.0177854813881422,0.058410105120037,-0.304493226841345,0.760752152128072,0.999945529425441,"chicharo vs makindu","BEL-16_DAN-LTR",0.999945529425441,FALSE
